
,,,,,,Totals,Totals,Totals,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
2248,Rajon Rondo,2015-16,29,SAC,NBA,72,72,2537,5.0,11.1,4.2,8.7,0.9,2.4,1.2,2.1,1.1,5.1,6.2,11.9,2.0,0.1,3.9,2.5,12.2,.454,.479,.365,.494,.580,.506
2249,Lorenzo Romar,1981-82,23,GSW,NBA,79,11,1259,5.8,11.5,5.7,11.1,0.1,0.4,2.3,2.7,0.3,2.5,2.8,6.5,1.7,0.4,2.5,2.9,14.0,.504,.515,.200,.507,.823,.548
2250,Lorenzo Romar,1982-83,24,GSW,NBA,82,64,2130,4.5,9.7,4.3,9.1,0.2,0.6,1.3,1.8,0.4,1.9,2.3,7.7,1.7,0.1,2.4,2.4,10.5,.465,.475,.303,.474,.743,.501
2251,Tree Rollins,1977-78,22,ATL,NBA,80,,1795,5.1,10.4,5.1,10.4,,,2.1,3.0,3.6,7.5,11.1,1.6,1.1,4.4,2.4,6.5,12.2,.487,.487,,.487,.703,.521
2252,Tree Rollins,1978-79,23,ATL,NBA,81,,1900,5.6,10.5,5.6,10.5,,,1.7,2.7,4.1,7.0,11.1,0.9,0.9,4.8,1.6,6.2,12.9,.535,.535,,.535,.631,.553
2253,Tree Rollins,1979-80,24,ATL,NBA,82,,2123,4.9,8.7,4.9,8.7,0.0,0.0,2.7,3.7,4.8,8.3,13.1,1.3,0.9,4.1,1.7,5.5,12.4,.558,.558,,.558,.714,.598
2254,Tree Rollins,1981-82,26,ATL,NBA,79,39,2018,3.6,6.2,3.6,6.2,0.0,0.0,1.4,2.3,3.0,7.9,10.9,1.1,0.6,4.0,1.4,5.1,8.6,.584,.584,,.584,.612,.600
2255,Tree Rollins,1982-83,27,ATL,NBA,80,80,2472,3.8,7.5,3.8,7.4,0.0,0.0,1.4,2.0,3.1,7.8,10.8,1.1,0.7,5.0,1.4,4.3,9.0,.510,.511,.000,.510,.726,.543
2256,Tree Rollins,1983-84,28,ATL,NBA,77,76,2351,4.2,8.1,4.2,8.1,0.0,0.0,1.8,2.9,3.1,6.0,9.1,0.9,0.5,4.2,1.5,4.5,10.2,.518,.518,,.518,.621,.544
2257,Tree Rollins,1984-85,29,ATL,NBA,70,60,1750,3.8,7.0,3.8,7.0,0.0,0.0,1.4,1.9,2.3,6.8,9.1,1.1,0.7,3.4,1.6,4.4,9.0,.549,.549,,.549,.720,.578
2258,Tree Rollins,1985-86,30,ATL,NBA,74,61,1781,3.5,7.0,3.5,7.0,0.0,0.0,1.4,1.8,2.6,6.6,9.3,0.8,0.8,3.4,1.8,4.8,8.4,.499,.500,.000,.499,.767,.537
