
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
3354,Donald Royal,1993-94,27,ORL,NBA,74,0,1357,14.6,.006,.775,7.9,12.6,10.3,6.3,1.9,0.7,14.0,17.0,116,108,2.6,1.2,3.8,.135,-0.3,-0.6,-0.9,0.4
3355,Donald Royal,1994-95,28,ORL,NBA,70,68,1841,12.2,.009,.689,5.3,11.8,8.7,14.2,1.2,0.6,18.1,16.1,111,110,2.2,1.4,3.6,.094,-1.0,-0.3,-1.3,0.3
3356,Donald Royal,1995-96,29,ORL,NBA,64,7,963,12.7,.009,.759,7.1,11.3,9.3,6.3,1.6,1.1,15.3,16.0,114,108,1.4,0.9,2.3,.113,-1.9,-0.6,-2.5,-0.1
3357,Donald Royal,1996-97,30,TOT,NBA,62,4,858,9.1,.014,.801,7.3,14.1,10.7,4.3,1.4,1.0,19.2,12.9,106,111,0.6,0.4,1.0,.054,-3.3,-1.0,-4.2,-0.5
3358,Donald Royal,1997-98,31,TOT,NBA,31,5,323,8.3,.000,.478,6.8,8.5,7.6,7.9,1.2,0.2,10.7,13.4,107,109,0.3,0.2,0.4,.065,-2.7,-1.4,-4.0,-0.2
3359,Brandon Roy,2006-07,22,POR,NBA,57,55,2015,18.0,.191,.315,3.5,12.1,7.7,20.9,1.8,0.4,11.8,23.0,112,111,3.8,1.0,4.8,.114,2.8,-0.7,2.1,2.1
3360,Brandon Roy,2007-08,23,POR,NBA,74,74,2792,19.4,.184,.319,3.4,11.2,7.3,28.2,1.5,0.4,9.3,24.9,113,110,5.9,2.1,8.0,.138,3.6,-0.2,3.5,3.9
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
3361,Brandon Roy,2008-09,24,POR,NBA,78,78,2903,24.0,.167,.383,4.4,11.6,7.9,25.4,1.7,0.6,9.0,27.4,123,109,10.9,2.6,13.5,.223,5.9,-0.2,5.8,5.7
3362,Brandon Roy,2009-10,25,POR,NBA,65,65,2419,21.3,.213,.424,3.7,10.9,7.3,23.1,1.4,0.5,9.5,26.7,117,109,7.0,2.1,9.1,.180,4.8,-0.7,4.1,3.7
3363,Brandon Roy,2010-11,26,POR,NBA,47,23,1310,13.9,.218,.264,2.5,9.1,5.6,16.8,1.5,0.8,8.6,22.8,105,110,1.2,0.9,2.1,.077,-0.5,-1.6,-2.1,0.0
3364,Brandon Roy,2012-13,28,MIN,NBA,5,5,122,8.3,.257,.286,2.7,10.6,6.6,28.8,1.3,0.0,15.1,17.0,88,109,-0.1,0.1,0.0,-.017,-3.9,-1.5,-5.5,-0.1
3365,Brian Rowsom,1987-88,22,IND,NBA,4,0,16,8.2,.000,1.000,6.9,27.2,17.1,7.2,3.1,0.0,10.4,25.4,85,101,0.0,0.0,0.0,-.008,-8.4,-0.8,-9.3,0.0
3366,Brian Rowsom,1988-89,23,CHH,NBA,34,0,517,15.7,.006,.500,11.4,18.3,14.7,6.5,0.9,1.4,8.3,17.1,121,112,1.2,0.3,1.5,.135,0.1,-0.9,-0.8,0.2
3367,Brian Rowsom,1989-90,24,CHH,NBA,44,2,559,13.6,.011,.464,8.4,18.8,13.3,5.7,1.6,1.2,10.4,18.3,107,109,0.5,0.5,1.0,.085,-2.7,-0.3,-3.1,-0.1
